INFO 2019-05-11 07:17:04,435 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 304 0
INFO 2019-05-11 07:17:04,505 basehttp 124 "GET /image_codes/145379db-ccb3-4520-ade9-a9fed2d12b55/ HTTP/1.1" 200 3387
INFO 2019-05-11 09:41:40,483 basehttp 124 "GET /register/ HTTP/1.1" 200 3886
INFO 2019-05-11 09:41:40,583 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,590 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,593 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,596 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,598 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,599 basehttp 124 "GET /static/js/common.js HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,611 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,637 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,647 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,651 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 304 0
INFO 2019-05-11 09:41:40,831 basehttp 124 "GET /image_codes/f808e4e3-1fdb-40d9-83c1-837b9560580a/ HTTP/1.1" 200 3508
INFO 2019-05-11 10:09:04,176 basehttp 124 "GET /register/ HTTP/1.1" 200 3886
INFO 2019-05-11 10:09:04,249 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-05-11 10:09:04,252 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-05-11 10:09:04,267 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-05-11 10:09:04,268 basehttp 124 "GET /static/js/common.js HTTP/1.1" 304 0
